 0.49 0.29 0.48 0.50 0.56 0.24 0.35 cp  
 0.07 0.40 0.48 0.50 0.54 0.35 0.44 cp  
 0.56 0.40 0.48 0.50 0.49 0.37 0.46 cp  
 0.59 0.49 0.48 0.50 0.52 0.45 0.36 cp  
 0.23 0.32 0.48 0.50 0.55 0.25 0.35 cp  
 0.67 0.39 0.48 0.50 0.36 0.38 0.46 cp  
 0.29 0.28 0.48 0.50 0.44 0.23 0.34 cp  
 0.21 0.34 0.48 0.50 0.51 0.28 0.39 cp  
 0.20 0.44 0.48 0.50 0.46 0.51 0.57 cp  
 0.42 0.40 0.48 0.50 0.56 0.18 0.30 cp  
 0.42 0.24 0.48 0.50 0.57 0.27 0.37 cp  
 0.25 0.48 0.48 0.50 0.44 0.17 0.29 cp  
 0.39 0.32 0.48 0.50 0.46 0.24 0.35 cp  
 0.51 0.50 0.48 0.50 0.46 0.32 0.35 cp  
 0.22 0.43 0.48 0.50 0.48 0.16 0.28 cp  
 0.25 0.40 0.48 0.50 0.46 0.44 0.52 cp  
 0.34 0.45 0.48 0.50 0.38 0.24 0.35 cp  
 0.44 0.27 0.48 0.50 0.55 0.52 0.58 cp  
 0.23 0.40 0.48 0.50 0.39 0.28 0.38 cp  
 0.41 0.57 0.48 0.50 0.39 0.21 0.32 cp  
 0.40 0.45 0.48 0.50 0.38 0.22 0.00 cp  
 0.31 0.23 0.48 0.50 0.73 0.05 0.14 cp  
 0.51 0.54 0.48 0.50 0.41 0.34 0.43 cp  
 0.30 0.16 0.48 0.50 0.56 0.11 0.23 cp  
 0.36 0.39 0.48 0.50 0.48 0.22 0.23 cp  
 0.29 0.37 0.48 0.50 0.48 0.44 0.52 cp  
 0.25 0.40 0.48 0.50 0.47 0.33 0.42 cp  
 0.21 0.51 0.48 0.50 0.50 0.32 0.41 cp  
 0.43 0.37 0.48 0.50 0.53 0.35 0.44 cp  
 0.43 0.39 0.48 0.50 0.47 0.31 0.41 cp  
 0.53 0.38 0.48 0.50 0.44 0.26 0.36 cp  
 0.34 0.33 0.48 0.50 0.38 0.35 0.44 cp  
 0.56 0.51 0.48 0.50 0.34 0.37 0.46 cp  
 0.40 0.29 0.48 0.50 0.42 0.35 0.44 cp  
 0.24 0.35 0.48 0.50 0.31 0.19 0.31 cp  
 0.36 0.54 0.48 0.50 0.41 0.38 0.46 cp  
 0.29 0.52 0.48 0.50 0.42 0.29 0.39 cp  
 0.65 0.47 0.48 0.50 0.59 0.30 0.40 cp  
 0.32 0.42 0.48 0.50 0.35 0.28 0.38 cp  
 0.38 0.46 0.48 0.50 0.48 0.22 0.29 cp  
 0.33 0.45 0.48 0.50 0.52 0.32 0.41 cp  
 0.30 0.37 0.48 0.50 0.59 0.41 0.49 cp  
 0.40 0.50 0.48 0.50 0.45 0.39 0.47 cp  
 0.28 0.38 0.48 0.50 0.50 0.33 0.42 cp  
 0.61 0.45 0.48 0.50 0.48 0.35 0.41 cp  
 0.17 0.38 0.48 0.50 0.45 0.42 0.50 cp  
 0.44 0.35 0.48 0.50 0.55 0.55 0.61 cp  
 0.43 0.40 0.48 0.50 0.39 0.28 0.39 cp  
 0.42 0.35 0.48 0.50 0.58 0.15 0.27 cp  
 0.23 0.33 0.48 0.50 0.43 0.33 0.43 cp  
 0.37 0.52 0.48 0.50 0.42 0.42 0.36 cp  
 0.29 0.30 0.48 0.50 0.45 0.03 0.17 cp  
 0.22 0.36 0.48 0.50 0.35 0.39 0.47 cp  
 0.23 0.58 0.48 0.50 0.37 0.53 0.59 cp  
 0.47 0.47 0.48 0.50 0.22 0.16 0.26 cp  
 0.54 0.47 0.48 0.50 0.28 0.33 0.42 cp  
 0.51 0.37 0.48 0.50 0.35 0.36 0.45 cp  
 0.40 0.35 0.48 0.50 0.45 0.33 0.42 cp  
 0.44 0.34 0.48 0.50 0.30 0.33 0.43 cp  
 0.42 0.38 0.48 0.50 0.54 0.34 0.43 cp  
 0.44 0.56 0.48 0.50 0.50 0.46 0.54 cp  
 0.52 0.36 0.48 0.50 0.41 0.28 0.38 cp  
 0.36 0.41 0.48 0.50 0.48 0.47 0.54 cp  
 0.18 0.30 0.48 0.50 0.46 0.24 0.35 cp  
 0.47 0.29 0.48 0.50 0.51 0.33 0.43 cp  
 0.24 0.43 0.48 0.50 0.54 0.52 0.59 cp  
 0.25 0.37 0.48 0.50 0.41 0.33 0.42 cp  
 0.52 0.57 0.48 0.50 0.42 0.47 0.54 cp  
 0.25 0.37 0.48 0.50 0.43 0.26 0.36 cp  
 0.35 0.48 0.48 0.50 0.56 0.40 0.48 cp  
 0.26 0.26 0.48 0.50 0.34 0.25 0.35 cp  
 0.44 0.51 0.48 0.50 0.47 0.26 0.36 cp  
 0.37 0.50 0.48 0.50 0.42 0.36 0.45 cp  
 0.44 0.42 0.48 0.50 0.42 0.25 0.20 cp  
 0.24 0.43 0.48 0.50 0.37 0.28 0.38 cp  
 0.42 0.30 0.48 0.50 0.48 0.26 0.36 cp  
 0.48 0.42 0.48 0.50 0.45 0.25 0.35 cp  
 0.41 0.48 0.48 0.50 0.51 0.44 0.51 cp  
 0.44 0.28 0.48 0.50 0.43 0.27 0.37 cp  
 0.29 0.41 0.48 0.50 0.48 0.38 0.46 cp  
 0.34 0.28 0.48 0.50 0.41 0.35 0.44 cp  
 0.41 0.43 0.48 0.50 0.45 0.31 0.41 cp  
 0.29 0.47 0.48 0.50 0.41 0.23 0.34 cp  
 0.34 0.55 0.48 0.50 0.58 0.31 0.41 cp  
 0.36 0.56 0.48 0.50 0.43 0.45 0.53 cp  
 0.40 0.46 0.48 0.50 0.52 0.49 0.56 cp  
 0.50 0.49 0.48 0.50 0.49 0.46 0.53 cp  
 0.52 0.44 0.48 0.50 0.37 0.36 0.42 cp  
 0.50 0.51 0.48 0.50 0.27 0.23 0.34 cp  
 0.53 0.42 0.48 0.50 0.16 0.29 0.39 cp  
 0.34 0.46 0.48 0.50 0.52 0.35 0.44 cp  
 0.40 0.42 0.48 0.50 0.37 0.27 0.27 cp  
 0.41 0.43 0.48 0.50 0.50 0.24 0.25 cp  
 0.30 0.45 0.48 0.50 0.36 0.21 0.32 cp  
 0.31 0.47 0.48 0.50 0.29 0.28 0.39 cp  
 0.64 0.76 0.48 0.50 0.45 0.35 0.38 cp  
 0.35 0.37 0.48 0.50 0.30 0.34 0.43 cp  
 0.57 0.54 0.48 0.50 0.37 0.28 0.33 cp  
 0.65 0.55 0.48 0.50 0.34 0.37 0.28 cp  
 0.51 0.46 0.48 0.50 0.58 0.31 0.41 cp  
 0.38 0.40 0.48 0.50 0.63 0.25 0.35 cp  
 0.24 0.57 0.48 0.50 0.63 0.34 0.43 cp  
 0.38 0.26 0.48 0.50 0.54 0.16 0.28 cp  
 0.33 0.47 0.48 0.50 0.53 0.18 0.29 cp  
 0.24 0.34 0.48 0.50 0.38 0.30 0.40 cp  
 0.26 0.50 0.48 0.50 0.44 0.32 0.41 cp  
 0.44 0.49 0.48 0.50 0.39 0.38 0.40 cp  
 0.43 0.32 0.48 0.50 0.33 0.45 0.52 cp  
 0.49 0.43 0.48 0.50 0.49 0.30 0.40 cp  
 0.47 0.28 0.48 0.50 0.56 0.20 0.25 cp  
 0.32 0.33 0.48 0.50 0.60 0.06 0.20 cp  
 0.34 0.35 0.48 0.50 0.51 0.49 0.56 cp  
 0.35 0.34 0.48 0.50 0.46 0.30 0.27 cp  
 0.38 0.30 0.48 0.50 0.43 0.29 0.39 cp  
 0.38 0.44 0.48 0.50 0.43 0.20 0.31 cp  
 0.41 0.51 0.48 0.50 0.58 0.20 0.31 cp  
 0.34 0.42 0.48 0.50 0.41 0.34 0.43 cp  
 0.51 0.49 0.48 0.50 0.53 0.14 0.26 cp  
 0.25 0.51 0.48 0.50 0.37 0.42 0.50 cp  
 0.29 0.28 0.48 0.50 0.50 0.42 0.50 cp  
 0.25 0.26 0.48 0.50 0.39 0.32 0.42 cp  
 0.24 0.41 0.48 0.50 0.49 0.23 0.34 cp  
 0.17 0.39 0.48 0.50 0.53 0.30 0.39 cp  
 0.04 0.31 0.48 0.50 0.41 0.29 0.39 cp  
 0.61 0.36 0.48 0.50 0.49 0.35 0.44 cp  
 0.34 0.51 0.48 0.50 0.44 0.37 0.46 cp  
 0.28 0.33 0.48 0.50 0.45 0.22 0.33 cp  
 0.40 0.46 0.48 0.50 0.42 0.35 0.44 cp  
 0.23 0.34 0.48 0.50 0.43 0.26 0.37 cp  
 0.37 0.44 0.48 0.50 0.42 0.39 0.47 cp  
 0.00 0.38 0.48 0.50 0.42 0.48 0.55 cp  
 0.39 0.31 0.48 0.50 0.38 0.34 0.43 cp  
 0.30 0.44 0.48 0.50 0.49 0.22 0.33 cp  
 0.27 0.30 0.48 0.50 0.71 0.28 0.39 cp  
 0.17 0.52 0.48 0.50 0.49 0.37 0.46 cp  
 0.36 0.42 0.48 0.50 0.53 0.32 0.41 cp  
 0.30 0.37 0.48 0.50 0.43 0.18 0.30 cp  
 0.26 0.40 0.48 0.50 0.36 0.26 0.37 cp  
 0.40 0.41 0.48 0.50 0.55 0.22 0.33 cp  
 0.22 0.34 0.48 0.50 0.42 0.29 0.39 cp  
 0.44 0.35 0.48 0.50 0.44 0.52 0.59 cp  
 0.27 0.42 0.48 0.50 0.37 0.38 0.43 cp  
 0.16 0.43 0.48 0.50 0.54 0.27 0.37 cp  
 0.06 0.61 0.48 0.50 0.49 0.92 0.37 im  
